rank_display,rank,name,country,city,region,overall_score,url,logo,employer_reputation_score,employer_reputation_rank,h_index_citations_score,h_index_citations_rank,citations_per_paper_score,citations_per_paper_rank,academic_reputation_score,academic_reputation_rank,international_research_network_score,international_research_network_rank
1,1,Harvard University,United States,Cambridge,North America,97.4,https://www.topuniversities.com/universities/harvard-university,https://www.topuniversities.com/sites/default/files/harvard-university_253_medium.jpg,100,1,96.5,=3,89.7,=62,98.2,2,87.2,6
2,2,University of Oxford,United Kingdom,Oxford,Europe,94.7,https://www.topuniversities.com/universities/university-oxford,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_medium.jpg,96.6,2,94,8,85.1,=295,94.5,3,100,1
3,3,Stanford University,United States,Stanford,North America,93.3,https://www.topuniversities.com/universities/stanford-university,https://www.topuniversities.com/sites/default/files/stanford-university_573_medium.jpg,95.3,4,96.5,=3,93.8,=11,94.2,4,66.1,=133
4,4,University of Cambridge,United Kingdom,Cambridge,Europe,92.7,https://www.topuniversities.com/universities/university-cambridge,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_medium.jpg,95.9,3,91.4,=18,84.7,=330,93.4,=6,80.6,11
5,5,The London School of Economics and Political Science (LSE),United Kingdom,London,Europe,91.8,https://www.topuniversities.com/universities/london-school-economics-political-science-lse,https://www.topuniversities.com/sites/default/files/london-school-of-economics-and-political-science-lse_362_medium.jpg,85.9,=11,85.3,=98,87.9,=118,100,1,60.2,=256
6,6,Massachusetts Institute of Technology (MIT),United States,Cambridge,North America,91.5,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_medium.jpg,94.2,5,92.8,11,95.4,=5,92.3,8,59.8,=269
7,7,Yale University,United States,New Haven,North America,88.6,https://www.topuniversities.com/universities/yale-university,https://www.topuniversities.com/sites/default/files/yale-university_684_medium.jpg,90.4,7,88.8,=35,88.2,=107,89.6,14,67.3,=110
8,8,National University of Singapore (NUS),Singapore,Singapore,Asia,88.5,https://www.topuniversities.com/universities/national-university-singapore-nus,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_medium.jpg,93.3,6,92.2,14,86.9,=167,88,17,62.1,206
9,9,"University of California, Berkeley (UCB)",United States,Berkeley,North America,88.1,https://www.topuniversities.com/universities/university-california-berkeley-ucb,https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_medium.jpg,84.9,14,91.6,17,88.9,=81,91.2,10,70.7,=64
10,10,Columbia University,United States,New York City,North America,88,https://www.topuniversities.com/universities/columbia-university,https://www.topuniversities.com/sites/default/files/211207010540pm571294Webp.net-resizeimage-2021-12-07T150514.382-90x90.jpg,84.6,15,89.7,=26,85.7,=246,91,11,79.2,15
11,11,University of Pennsylvania,United States,Philadelphia,North America,86.9,https://www.topuniversities.com/universities/university-pennsylvania,https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_medium.jpg,82.6,20,86.1,=85,86.8,=172,92.2,9,61.7,=211
=12,12,Bocconi University,Italy,Milan,Europe,85.4,https://www.topuniversities.com/universities/bocconi-university,https://www.topuniversities.com/sites/default/files/bocconi-university_592560cf2aeae70239af4abf_medium.jpg,81.1,28,76.7,=332,89.4,=67,93.4,=6,38.1,401+
=12,13,University of Chicago,United States,Chicago,North America,85.4,https://www.topuniversities.com/universities/university-chicago,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_medium.jpg,74.6,64,86.8,=63,90.4,=47,93.7,5,57.3,337
14,14,New York University (NYU),United States,New York City,North America,85.2,https://www.topuniversities.com/universities/new-york-university-nyu,https://www.topuniversities.com/sites/default/files/240530125524pm936168NYUShanghai-90x90.jpg,78.2,41,87.8,=48,84.8,=321,90.9,12,67.2,=112
=15,15,Peking University,China (Mainland),Beijing,Asia,85,https://www.topuniversities.com/universities/peking-university,https://www.topuniversities.com/sites/default/files/peking-university_50_medium.jpg,84.2,=16,94.1,7,87.9,=118,86.9,19,52.4,401+
=15,16,University of Toronto,Canada,Toronto,North America,85,https://www.topuniversities.com/universities/university-toronto,https://www.topuniversities.com/sites/default/files/university-of-toronto_619_medium.jpg,83.7,18,90.7,=21,83.8,401+,86.5,=20,72,=55
17,17,UCL,United Kingdom,London,Europe,84.8,https://www.topuniversities.com/universities/ucl,https://www.topuniversities.com/sites/default/files/240209111134am850728QS-UCL-icon-90x90.jpg,79.9,34,93.4,10,86.5,=190,85.8,24,88.8,4
18,18,University of British Columbia,Canada,Vancouver,North America,83.8,https://www.topuniversities.com/universities/university-british-columbia,https://www.topuniversities.com/sites/default/files/university-of-british-columbia_70_medium.jpg,83.3,19,88.1,=44,84.3,=366,84.2,32,76.1,27
=19,19,The University of Melbourne,Australia,Melbourne,Oceania,83.7,https://www.topuniversities.com/universities/university-melbourne,https://www.topuniversities.com/sites/default/files/211118103607am165180PRIMARY-A-A4-Vertical-Housed-RGB-200px-90x90.jpg,80.5,29,88.5,=37,83.7,401+,86.5,=20,66.7,=124
=19,20,Tsinghua University,China (Mainland),Beijing,Asia,83.7,https://www.topuniversities.com/universities/tsinghua-university,https://www.topuniversities.com/sites/default/files/tsinghua-university_626_medium.jpg,84.2,=16,100,1,90.8,43,82.5,=41,58.2,310
21,21,"Nanyang Technological University, Singapore (NTU Singapore)",Singapore,Singapore,Asia,83.3,https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu-singapore,https://www.topuniversities.com/sites/default/files/nanyang-technological-university-singapore-ntu_592560cf2aeae70239af4c32_medium.jpg,87.3,8,88.8,=35,86.5,=190,82.1,49,57.6,=328
22,22,The University of Hong Kong,Hong Kong SAR,Hong Kong,Asia,83.2,https://www.topuniversities.com/universities/university-hong-kong,https://www.topuniversities.com/sites/default/files/250912101330am198735HKUcolour-low-resolution-90x90.jpg,80.3,=30,88.1,=44,87,=158,86.4,22,55.5,=382
23,23,"University of California, Los Angeles (UCLA)",United States,Los Angeles,North America,82.4,https://www.topuniversities.com/universities/university-california-los-angeles-ucla,https://www.topuniversities.com/sites/default/files/university-of-california-los-angeles-ucla_87_medium.jpg,76.5,=49,86.6,=73,85,=306,87.6,18,55.5,=382
24,24,INSEAD,France,Fontainebleau,Europe,81.4,https://www.topuniversities.com/universities/insead,https://www.topuniversities.com/sites/default/files/insead_592560cf2aeae70239af4ba8_medium.jpg,82.5,=21,63.4,401+,69,401+,90.4,13,31.1,401+
25,25,Princeton University,United States,Princeton,North America,81.2,https://www.topuniversities.com/universities/princeton-university,https://www.topuniversities.com/sites/default/files/princeton-university_508_medium.jpg,78.4,=38,86.4,=79,92.7,21,83.4,37,50.3,401+
26,26,The University of Sydney,Australia,Sydney,Oceania,81.1,https://www.topuniversities.com/universities/university-sydney,https://www.topuniversities.com/sites/default/files/the-university-of-sydney_592560cf2aeae70239af4cd0_medium.jpg,75.9,56,89.2,=29,84.8,=321,83.7,35,67.9,100
27,27,The University of New South Wales (UNSW Sydney),Australia,Sydney,Oceania,80.9,https://www.topuniversities.com/universities/university-new-south-wales-unsw-sydney,https://www.topuniversities.com/sites/default/files/221220094647am317557UNSW-Sydney-Logo-jpeg-90x90.jpg,74.7,=62,89.7,=26,84.6,=340,83.5,36,73.6,43
28,28,Tecnológico de Monterrey,Mexico,Monterrey,Latin America,80.8,https://www.topuniversities.com/universities/tecnologico-de-monterrey,https://www.topuniversities.com/sites/default/files/instituto-tecnolgico-y-de-estudios-superiores-de-monterrey_592560cf2aeae70239af4cd6_medium.jpg,81.7,25,77.5,=311,80.6,401+,82.2,=47,65.8,139
29,29,London Business School,United Kingdom,London,Europe,80.6,https://www.topuniversities.com/universities/london-business-school,https://www.topuniversities.com/sites/default/files/london-business-school_592560cf2aeae70239af4be5_medium.jpg,78.4,=38,66.7,401+,79.2,401+,89.3,=15,28.9,401+
30,30,The University of Manchester,United Kingdom,Manchester,Europe,80.4,https://www.topuniversities.com/universities/university-manchester,https://www.topuniversities.com/sites/default/files/the-university-of-manchester_389_medium.jpg,74.1,=67,87.6,=53,85.8,=240,82,50,82.8,9
31,31,University of Amsterdam,Netherlands,Amsterdam,Europe,80.3,https://www.topuniversities.com/universities/university-amsterdam,https://www.topuniversities.com/sites/default/files/240924020914pm288471UvA-logo-90x90.jpg,70,=102,89,=32,86.7,=178,85,28,73,=45
=32,32,Cornell University,United States,Ithaca,North America,80.2,https://www.topuniversities.com/universities/cornell-university,https://www.topuniversities.com/sites/default/files/cornell-university_143_medium.jpg,76.9,=45,88.1,=44,85.8,=240,81.6,=52,66.7,=124
=32,33,McGill University,Canada,Montreal,North America,80.2,https://www.topuniversities.com/universities/mcgill-university,https://www.topuniversities.com/sites/default/files/250528065103pm337251shield-McGill-red-200x200px-90x90.jpg,78.9,37,86.6,=73,84.5,=345,80,=59,73.8,38
=34,34,Monash University,Australia,Melbourne,Oceania,80.1,https://www.topuniversities.com/universities/monash-university,https://www.topuniversities.com/sites/default/files/monash-university_412_medium.jpg,75.8,57,89.2,=29,85.6,=255,81.6,=52,68.6,=90
=34,35,Seoul National University,South Korea,Seoul,Asia,80.1,https://www.topuniversities.com/universities/seoul-national-university,https://www.topuniversities.com/sites/default/files/graduate-school-of-business-seoul-national-university_553_medium.jpg,76.3,52,79.8,=239,79.9,401+,85.2,27,52.8,401+
=36,36,Australian National University (ANU),Australia,Canberra,Oceania,79.9,https://www.topuniversities.com/universities/australian-national-university-anu,https://www.topuniversities.com/sites/default/files/251223044806am137327ANU-Crest-Inversed-Gold200x200-90x90.jpg,75.1,61,80.5,=213,79.7,401+,84.5,=30,62.3,202
=36,37,The University of Tokyo,Japan,Tokyo,Asia,79.9,https://www.topuniversities.com/universities/university-tokyo,https://www.topuniversities.com/sites/default/files/the-university-of-tokyo_615_medium.jpg,82.5,=21,76.7,=332,77.9,401+,81.9,51,52.8,401+
=38,38,Northwestern University,United States,Evanston,North America,79.6,https://www.topuniversities.com/universities/northwestern-university,https://www.topuniversities.com/sites/default/files/northwestern-university_592560cf2aeae70239af4c50_medium.jpg,68.5,=124,85.6,=91,89.4,=67,85.6,25,61.6,=214
=38,39,Pontificia Universidad Católica de Chile (UC),Chile,Santiago,Latin America,79.6,https://www.topuniversities.com/universities/pontificia-universidad-católica-de-chile-uc,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-de-chile-uc_107_medium.jpg,79.8,=35,70.7,401+,75.2,401+,84.5,=30,48.7,401+
40,40,Imperial College London,United Kingdom,London,Europe,79.5,https://www.topuniversities.com/universities/imperial-college-london,https://www.topuniversities.com/sites/default/files/240430033452pm869301QS-Imperial-Logo-white-text-blue-background-90x90.jpg,85.3,13,87.6,=53,90.9,=41,74,127,70.9,=62
=41,41,The University of Edinburgh,United Kingdom,Edinburgh,Europe,79.4,https://www.topuniversities.com/universities/university-edinburgh,https://www.topuniversities.com/sites/default/files/the-university-of-edinburgh_180_medium.jpg,75.7,58,86.8,=63,83.8,401+,79.9,=61,79.8,14
=41,42,Universidad Nacional Autónoma de México  (UNAM),Mexico,Mexico City,Latin America,79.4,https://www.topuniversities.com/universities/universidad-nacional-autonoma-de-mexico-unam,https://www.topuniversities.com/sites/default/files/universidad-nacional-autnoma-de-mxico-unam_425_medium.jpg,80,=32,71.6,401+,70.2,401+,83.8,=33,57,=343
43,43,The University of Warwick,United Kingdom,Coventry,Europe,79.3,https://www.topuniversities.com/universities/university-warwick,https://www.topuniversities.com/sites/default/files/240325030130pm310608Warwick-logo-90x90.jpg,71.7,=80,83.4,=137,84.6,=340,83.8,=33,65.6,=144
44,44,HEC Paris,France,Paris,Europe,79,https://www.topuniversities.com/universities/hec-paris,https://www.topuniversities.com/sites/default/files/hec-paris-school-of-management_257_medium.jpg,76.7,48,60.8,401+,67.9,401+,89.3,=15,33.9,401+
=45,45,Erasmus University Rotterdam ,Netherlands,Rotterdam,Europe,78.9,https://www.topuniversities.com/universities/erasmus-university-rotterdam,https://www.topuniversities.com/sites/default/files/erasmus-university-rotterdam_190_medium.jpg,67.8,135,84.8,=107,86,=226,85.4,26,61.1,=236
=45,46,King's College London,United Kingdom,London,Europe,78.9,https://www.topuniversities.com/universities/kings-college-london,https://www.topuniversities.com/sites/default/files/231024034600pm558869KCL-box-red-485-rgb-90x90.jpg,76.5,=49,85.8,=88,83.5,401+,78.7,=74,78.2,=18
47,47,University of Michigan-Ann Arbor,United States,Ann Arbor,North America,78.5,https://www.topuniversities.com/universities/university-michigan-ann-arbor,https://www.topuniversities.com/sites/default/files/university-of-michigan_403_medium.jpg,65,=190,89.9,25,86.5,=190,84.7,29,67.5,=107
48,48,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,Hong Kong,Asia,78.2,https://www.topuniversities.com/universities/chinese-university-hong-kong-cuhk,https://www.topuniversities.com/sites/default/files/230719090304am589775CUHK-acronym-logo-thumb-200x200%20%281%29.jpg,72.5,=76,84.8,=107,85.9,=234,82.7,40,45.9,401+
49,49,Universidad de los Andes,Colombia,Bogotá,Latin America,78,https://www.topuniversities.com/universities/universidad-de-los-andes,https://www.topuniversities.com/sites/default/files/universidad-de-los-andes_592560cf2aeae70239af4bf6_medium.jpg,81.5,26,62.1,401+,74.5,401+,82.5,=41,40.4,401+
50,50,The Hong Kong University of Science and Technology,Hong Kong SAR,Hong Kong,Asia,77.9,https://www.topuniversities.com/universities/hong-kong-university-science-technology,https://www.topuniversities.com/sites/default/files/the-hong-kong-university-of-science-and-technology_269_medium.jpg,73.4,=71,82.3,=163,88.2,=107,82.2,=47,38.9,401+
=51,51,Korea University,South Korea,Seoul,Asia,77.6,https://www.topuniversities.com/universities/korea-university,https://www.topuniversities.com/sites/default/files/korea-university_325_medium.jpg,71.1,87,84.3,=116,86.1,=218,82.5,=41,45.5,401+
=51,52,Universidad de Buenos Aires (UBA),Argentina,Buenos Aires,Latin America,77.6,https://www.topuniversities.com/universities/universidad-de-buenos-aires-uba,https://www.topuniversities.com/sites/default/files/universidad-de-buenos-aires-uba_78_medium.jpg,82.1,23,62.1,401+,62.5,401+,82.9,39,42.6,401+
=53,53,Fudan University,China (Mainland),Shanghai,Asia,77.5,https://www.topuniversities.com/universities/fudan-university,https://www.topuniversities.com/sites/default/files/fudan-university_218_medium.jpg,76.2,=53,83.7,=130,84.7,=330,79,=72,49.4,401+
=53,54,The University of Queensland,Australia,Brisbane City,Oceania,77.5,https://www.topuniversities.com/universities/university-queensland,https://www.topuniversities.com/sites/default/files/210824044126am970441uq-logo-90x90.jpg,69.9,=104,91.4,=18,86.8,=172,79.2,70,70.5,=67
=53,55,Yonsei University,South Korea,Seoul,Asia,77.5,https://www.topuniversities.com/universities/yonsei-university,https://www.topuniversities.com/sites/default/files/yonsei-university_688_medium.jpg,70.3,=97,82.6,=154,86,=226,82.4,=45,51.4,401+
56,56,Shanghai Jiao Tong University,China (Mainland),Shanghai,Asia,77.2,https://www.topuniversities.com/universities/shanghai-jiao-tong-university,https://www.topuniversities.com/sites/default/files/shanghai-jiao-tong-university_556_medium.jpg,76.8,47,92.4,13,87.8,=121,76.3,=96,49.7,401+
57,57,Université Paris 1 Panthéon-Sorbonne,France,Paris,Europe,77,https://www.topuniversities.com/universities/universite-paris-1-pantheon-sorbonne,https://www.topuniversities.com/sites/default/files/260305110034am945966P1PS-logo-90x90.jpg,74.7,=62,71.6,401+,75.5,401+,80.6,56,64.5,=159
58,58,The University of Auckland,New Zealand,Auckland,Oceania,76.9,https://www.topuniversities.com/universities/university-auckland,https://www.topuniversities.com/sites/default/files/221206065357am877738QS-Website-logo-01-90x90.jpg,70.9,89,85.3,=98,88.9,=81,79,=72,61.8,210
59,59,Duke University,United States,Durham,North America,76.6,https://www.topuniversities.com/universities/duke-university,https://www.topuniversities.com/sites/default/files/duke-university_168_medium.jpg,69,=115,81.4,=189,85.3,=279,80.1,=57,66.8,=121
=60,60,ETH Zurich,Switzerland,Zürich,Europe,76.4,https://www.topuniversities.com/universities/eth-zurich,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_medium.jpg,80,=32,88.5,=37,90.1,=51,71.2,=176,68.1,=96
=60,61,University of Texas at Austin,United States,Austin,North America,76.4,https://www.topuniversities.com/universities/university-texas-austin,https://www.topuniversities.com/sites/default/files/university-of-texas-at-austin_604_medium.jpg,68.8,=117,89.4,28,87,=158,79.3,=67,56.6,=352
62,62,The Hong Kong Polytechnic University,Hong Kong SAR,Hong Kong,Asia,76.3,https://www.topuniversities.com/universities/hong-kong-polytechnic-university,https://www.topuniversities.com/sites/default/files/the-hong-kong-polytechnic-university_267_medium.jpg,66.7,=152,96,=5,91.5,=31,78.5,77,60.1,=261
63,63,Copenhagen Business School,Denmark,Frederiksberg,Europe,76.1,https://www.topuniversities.com/universities/copenhagen-business-school,https://www.topuniversities.com/sites/default/files/copenhagen-business-school_710_medium.jpg,58.1,=358,81.7,=177,89.8,=58,86,23,56.4,=361
64,64,Universidade de São Paulo,Brazil,São Paulo,Latin America,76,https://www.topuniversities.com/universities/universidade-de-sao-paulo,https://www.topuniversities.com/sites/default/files/universidade-de-so-paulo_550_medium.jpg,74.2,66,79.5,=247,73.3,401+,77.9,=81,67.2,=112
65,65,Pennsylvania State University,United States,University Park,North America,75.7,https://www.topuniversities.com/universities/pennsylvania-state-university,https://www.topuniversities.com/sites/default/files/pennsylvania-state-university_494_medium.jpg,70.8,=90,86.6,=73,82.7,401+,76.4,=93,72,=55
66,66,Indian Institute of Management (IIM) - Ahmedabad,India,Ahmedabad,Asia,75.6,https://www.topuniversities.com/universities/indian-institute-management-iim-ahmedabad,https://www.topuniversities.com/sites/default/files/indian-institute-of-management-ahmedabad_1901_medium.jpg,86.2,10,60.8,401+,73.4,401+,77.2,=86,21.7,401+
67,67,National Taiwan University (NTU),Taiwan,Taipei,Asia,75.4,https://www.topuniversities.com/universities/national-taiwan-university-ntu,https://www.topuniversities.com/sites/default/files/national-taiwan-university-ntu_592560cf2aeae70239af4c3c_medium.jpg,73.2,74,79.5,=247,83.3,401+,78.7,=74,37.6,401+
=68,68,Adelaide University,Australia,Adelaide,Oceania,75.3,https://www.topuniversities.com/universities/adelaide-university,https://www.topuniversities.com/sites/default/files/251230064220am949573AU-stacked-300x300-90x90.jpg,74,70,88.3,=40,86.2,=210,72.6,=151,73.3,44
=68,69,City University of Hong Kong (CityUHK),Hong Kong SAR,"Kowloon,",Asia,75.3,https://www.topuniversities.com/universities/city-university-hong-kong-cityuhk,https://www.topuniversities.com/sites/default/files/240301064743am994206logo-90x90.jpg,67.5,=138,86.8,=63,87.4,=139,79.3,=67,45.7,401+
=68,70,KU Leuven,Belgium,Leuven,Europe,75.3,https://www.topuniversities.com/universities/ku-leuven,https://www.topuniversities.com/sites/default/files/ku-leuven_592560cf2aeae70239af4aec_medium.jpg,68,=131,86.4,=79,83.9,=393,76.2,=98,81,10
71,71,Universidad de Chile,Chile,Santiago,Latin America,75.1,https://www.topuniversities.com/universities/universidad-de-chile,https://www.topuniversities.com/sites/default/files/universidad-de-chile_121_medium.jpg,75.6,59,68.3,401+,72.8,401+,79.3,=67,43,401+
72,72,Universiti Malaya (UM),Malaysia,Kuala Lumpur,Asia,75,https://www.topuniversities.com/universities/universiti-malaya-um,https://www.topuniversities.com/sites/default/files/universiti-malaya-um_383_medium.jpg,65,=190,82.3,=163,82.8,401+,79.7,64,65.2,=150
=73,73,Alma Mater Studiorum - Università di Bologna,Italy,Bologna,Europe,74.7,https://www.topuniversities.com/universities/alma-mater-studiorum-universita-di-bologna,https://www.topuniversities.com/sites/default/files/240304015357pm262606Unibo-200X200-90x90.jpg,67.1,=143,82,=168,79.2,401+,78.6,76,64,166
=73,74,Kyoto University,Japan,Kyoto,Asia,74.7,https://www.topuniversities.com/universities/kyoto-university,https://www.topuniversities.com/sites/default/files/kyoto-university_328_medium.jpg,73.4,=71,71.6,401+,77.3,401+,76.9,=89,60.4,=250
=73,75,University of Navarra,Spain,Pamplona,Europe,74.7,https://www.topuniversities.com/universities/university-navarra,https://www.topuniversities.com/sites/default/files/230606111821am961353marcaunav-rojo-1x1-90x90.jpg,68.4,=126,69.7,401+,81.1,401+,80,=59,58.1,=311
=73,76,Zhejiang University,China (Mainland),Hangzhou,Asia,74.7,https://www.topuniversities.com/universities/zhejiang-university,https://www.topuniversities.com/sites/default/files/zhejiang-university_592560cf2aeae70239af4d37_medium.jpg,73.3,73,93.8,9,87.7,=125,72.1,=161,61,=238
77,77,University of Leeds,United Kingdom,Leeds,Europe,74.6,https://www.topuniversities.com/universities/university-leeds,https://www.topuniversities.com/sites/default/files/250929041939pm876425Logo-200x200-v2-90x90.jpg,70.3,=97,85.3,=98,85.2,=289,72.7,=147,87.7,5
=78,78,Durham University,United Kingdom,Durham,Europe,74.3,https://www.topuniversities.com/universities/durham-university,https://www.topuniversities.com/sites/default/files/durham-university_170_medium.jpg,70.3,=97,80.8,=203,84.7,=330,74.4,=120,71.4,58
=78,79,Humboldt-Universität zu Berlin,Germany,Berlin,Europe,74.3,https://www.topuniversities.com/universities/humboldt-universitat-zu-berlin,https://www.topuniversities.com/sites/default/files/humboldt-universitt-zu-berlin_272_medium.jpg,62,=250,78.5,=281,82.3,401+,80.1,=57,72.6,52
=78,80,Sciences Po,France,Paris,Europe,74.3,https://www.topuniversities.com/universities/sciences-po,https://www.topuniversities.com/sites/default/files/sciences-po-_592560cf2aeae70239af4c64_medium.jpg,65.7,=173,68.8,401+,80.1,401+,82.5,=41,43.2,401+
=78,81,Waseda University,Japan,Tokyo,Asia,74.3,https://www.topuniversities.com/universities/waseda-university,https://www.topuniversities.com/sites/default/files/waseda-university_592560cf2aeae70239af4d1c_medium.jpg,71.5,82,66.2,401+,76.4,401+,79.5,66,47.8,401+
82,82,Luiss University,Italy,Rome,Europe,74.2,https://www.topuniversities.com/universities/luiss-university,https://www.topuniversities.com/sites/default/files/260202103306am481275Luiss-UniversitaDiRoma-ML-POS-COL-PANTONE-90x90.jpg,74.4,65,69.3,401+,82.5,401+,77,88,40.5,401+
83,83,Boston University,United States,Boston,North America,74.1,https://www.topuniversities.com/universities/boston-university,https://www.topuniversities.com/sites/default/files/boston-university_592560cf2aeae70239af4ac2_medium.jpg,71.2,86,83.4,=137,87,=158,75,=114,49.8,401+
84,84,Indian Institute of Technology Delhi (IITD),India,New Delhi,Asia,73.9,https://www.topuniversities.com/universities/indian-institute-technology-delhi-iitd,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-delhi-iitd_282_medium.jpg,87.1,9,81.7,=177,88.4,=94,65.2,=347,49,401+
85,85,University of Glasgow,United Kingdom,Glasgow,Europe,73.8,https://www.topuniversities.com/universities/university-glasgow,https://www.topuniversities.com/sites/default/files/university-of-glasgow_592560cf2aeae70239af4b6c_medium.jpg,65.8,=170,80.1,=229,81.7,401+,76.2,=98,75.5,29
=86,86,Singapore Management University,Singapore,Singapore,Asia,73.7,https://www.topuniversities.com/universities/singapore-management-university,https://www.topuniversities.com/sites/default/files/singapore-management-university_1177_medium.jpg,68,=131,70.7,401+,82.4,401+,79.8,63,39.2,401+
=86,87,University of St.Gallen,Switzerland,St. Gallen,Europe,73.7,https://www.topuniversities.com/universities/university-stgallen,https://www.topuniversities.com/sites/default/files/220202052805pm846901HSG-Bildmarke-RGB-90x90.jpg,69.4,=112,76.4,=345,91.5,=31,76.7,91,38.2,401+
88,88,Universitat Ramon Llull,Spain,Barcelona,Europe,73.5,https://www.topuniversities.com/universities/universitat-ramon-llull,https://www.topuniversities.com/sites/default/files/RL-logo-90x90.jpg,69.7,108,72.4,401+,86.1,=218,77.9,=81,36,401+
=89,89,ESSEC Business School,France,Cergy,Europe,73.4,https://www.topuniversities.com/universities/essec-business-school,https://www.topuniversities.com/sites/default/files/essec-business-school_198_medium.jpg,70.3,=97,61.5,401+,70.9,401+,81.2,55,35.4,401+
=89,90,Ludwig-Maximilians-Universität München,Germany,Munich,Europe,73.4,https://www.topuniversities.com/universities/ludwig-maximilians-universitat-munchen,https://www.topuniversities.com/sites/default/files/ludwig-maximilians-universitt-mnchen_420_medium.jpg,61.8,=258,82.9,=147,85.1,=295,77.9,=81,66.8,=121
91,91,"Trinity College Dublin, The University of Dublin",Ireland,Dublin,Europe,73.3,https://www.topuniversities.com/universities/trinity-college-dublin-university-dublin,https://www.topuniversities.com/sites/default/files/trinity-college-dublin-the-university-of-dublin_167_medium.jpg,71.3,=84,78.5,=281,84.9,=313,72.7,=147,66.1,=133
=92,92,Arizona State University,United States,Tempe,North America,73.1,https://www.topuniversities.com/universities/arizona-state-university,https://www.topuniversities.com/sites/default/files/arizona-state-university_592560cf2aeae70239af4a9c_medium.jpg,66.2,=160,86.4,=79,84,=385,73.9,128,70.1,=73
=92,93,University of Bristol,United Kingdom,Bristol,Europe,73.1,https://www.topuniversities.com/universities/university-bristol,https://www.topuniversities.com/sites/default/files/240227125013pm861333White-90x90.jpg,69.5,=110,80.8,=203,86.6,=185,72.5,=153,69.7,80
94,94,Renmin (People's) University of China,China (Mainland),Beijing,Asia,72.9,https://www.topuniversities.com/universities/renmin-peoples-university-china,https://www.topuniversities.com/sites/default/files/renmin-peoples-university-of-china_884_medium.jpg,63.9,209,81.4,=189,85.4,=271,78.3,78,40.4,401+
95,95,Pontificia Universidad Javeriana,Colombia,Bogotá,Latin America,72.8,https://www.topuniversities.com/universities/pontificia-universidad-javeriana,https://www.topuniversities.com/sites/default/files/pontificia-universidad-javeriana_592560cf2aeae70239af514a_medium.jpg,78,42,57.3,401+,71.5,401+,76.4,=93,31.6,401+
=96,96,"Macquarie University (Sydney, Australia)",Australia,Sydney,Oceania,72.7,https://www.topuniversities.com/universities/macquarie-university-sydney-australia,https://www.topuniversities.com/sites/default/files/macquarie-university_378_medium.jpg,68.6,=120,85.3,=98,86.4,=195,72.3,=157,62.2,=203
=96,97,Universidad Nacional de Colombia,Colombia,Bogotá,Latin America,72.7,https://www.topuniversities.com/universities/universidad-nacional-de-colombia,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-colombia_592560cf2aeae70239af4b0b_medium.jpg,76.5,=49,62.1,401+,71.8,401+,74.9,117,44.2,401+
=96,98,Utrecht University,Netherlands,Utrecht,Europe,72.7,https://www.topuniversities.com/universities/utrecht-university,https://www.topuniversities.com/sites/default/files/utrecht-university_646_medium.jpg,61,=277,91.2,20,88.4,=94,74.4,=120,73.7,=39
99,99,Georgetown University,United States,Washington D.C.,North America,72.6,https://www.topuniversities.com/universities/georgetown-university,https://www.topuniversities.com/sites/default/files/220714055746am997087Georgetown-90x90.jpg,68.3,128,72.9,401+,79.8,401+,76.3,=96,50.6,401+
100,100,Keio University,Japan,Tokyo,Asia,72.4,https://www.topuniversities.com/universities/keio-university,https://www.topuniversities.com/sites/default/files/keio-university_592560cf2aeae70239af4bbe_medium.jpg,70.8,=90,64,401+,79.3,401+,75.9,=101,48.8,401+
101,101,University of Technology Sydney,Australia,Sydney,Oceania,72.3,https://www.topuniversities.com/universities/university-technology-sydney,https://www.topuniversities.com/sites/default/files/university-of-technology-sydney_592560cf2aeae70239af4ccf_medium.jpg,66.7,=152,90.7,=21,87.8,=121,70.8,=182,70.7,=64
=102,102,Michigan State University,United States,East Lansing,North America,72.2,https://www.topuniversities.com/universities/michigan-state-university,https://www.topuniversities.com/sites/default/files/michigan-state-university_402_medium.jpg,59.5,=318,86.8,=63,85.1,=295,75,=114,79,16
=102,103,University of Southern California,United States,Los Angeles,North America,72.2,https://www.topuniversities.com/universities/university-southern-california,https://www.topuniversities.com/sites/default/files/university-of-southern-california_569_medium.jpg,60.8,=285,84.8,=107,84.7,=330,76.4,=93,60,=265
