rank_display,rank,name,country,city,region,overall_score,url,logo,citations_per_faculty_score,citations_per_faculty_rank,academic_reputation_score,academic_reputation_rank,faculty_student_ratio_score,faculty_student_ratio_rank,employer_reputation_score,employer_reputation_rank,employment_outcomes_score,employment_outcomes_rank,international_student_ratio_score,international_student_ratio_rank,international_research_network_score,international_research_network_rank,international_faculty_ratio_score,international_faculty_ratio_rank,international_student_diversity_score,international_student_diversity_rank,sustainability_score_score,sustainability_score_rank
=88,88,Boston University,United States,Boston,North America,71.1,https://www.topuniversities.com/universities/boston-university,https://www.topuniversities.com/sites/default/files/boston-university_592560cf2aeae70239af4ac2_medium.jpg,61.9,273,75.3,111,40.6,497,86.7,83,86.9,127,92.8,150,84.9,256,40,500,93.3,124,73.7,264
=88,89,Freie Universitaet Berlin,Germany,Berlin,Europe,71.1,https://www.topuniversities.com/universities/freie-universitaet-berlin,https://www.topuniversities.com/sites/default/files/freie-universitaet-berlin_215_medium.jpg,84.3,128,88.3,71,8.3,801+,66.4,160,46.9,374,56,373,94.4,92,73.8,322,60.2,340,65.4,391
=88,90,Purdue University,United States,West Lafayette,North America,71.1,https://www.topuniversities.com/universities/purdue-university,https://www.topuniversities.com/sites/default/files/230619052213pm191066PU-SIG-Logo-RGB--PU-V-Full-RGB-90x90.jpg,62.4,265,74.3,115,16.4,801+,92.7,62,81,153,55.3,377,91,157,96.4,159,59.6,344,88.4,=74
91,91,Osaka University,Japan,Osaka City,Asia,71,https://www.topuniversities.com/universities/osaka-university,https://www.topuniversities.com/sites/default/files/osaka-university_472_medium.jpg,65.8,242,90.5,67,45.6,430,90,73,51.4,330,21.1,709,72,500,25.2,649,27.2,651,79.5,=180
92,92,The University of Sheffield,United Kingdom,"Sheffield,",Europe,70.9,https://www.topuniversities.com/universities/university-sheffield,https://www.topuniversities.com/sites/default/files/230919100158am438629UoS-logo-90x90.jpg,68.4,226,73,122,50.3,378,61.7,186,47.9,363,98,89,96.8,42,81.6,281,98.1,76,94.3,27
93,93,Uppsala University,Sweden,Uppsala,Europe,70.3,https://www.topuniversities.com/universities/uppsala-university,https://www.topuniversities.com/sites/default/files/uppsala-university_643_medium.jpg,55.9,318,74.7,113,66.3,260,48.1,268,82.9,145,82.9,207,95.9,60,99.7,106,84.5,174,94.4,26
=94,94,Durham University,United Kingdom,Durham,Europe,70.1,https://www.topuniversities.com/universities/durham-university,https://www.topuniversities.com/sites/default/files/durham-university_170_medium.jpg,42.9,441,74.1,117,37.3,539,91.9,64,53.6,316,94.5,134,90.9,161,99.2,123,94.9,111,95.2,22
=94,95,University of Alberta,Canada,"Edmonton,",North America,70.1,https://www.topuniversities.com/universities/university-alberta,https://www.topuniversities.com/sites/default/files/240306052437pm316638378168-RankingLogo-QS-200x200px-90x90.jpg,71.5,204,70.9,133,44.6,443,53,230,77.1,169,78.6,229,94.5,90,99.4,119,80.6,199,90.7,58
96,96,University of Technology Sydney,Australia,Sydney,Oceania,69.9,https://www.topuniversities.com/universities/university-technology-sydney,https://www.topuniversities.com/sites/default/files/university-of-technology-sydney_592560cf2aeae70239af4ccf_medium.jpg,99.3,33,58.7,180,11.8,801+,66.7,159,52.3,323,91.7,151,89.7,177,97.6,146,92.3,128,92,47
97,97,University of Nottingham,United Kingdom,Nottingham,Europe,69.4,https://www.topuniversities.com/universities/university-nottingham,https://www.topuniversities.com/sites/default/files/240606102649am426810UoN-NottinghamBlue-CastleBox-RGB-90x90.jpg,48.6,382,75.4,110,44.5,444,78.4,110,53.7,313,78.5,231,97.4,30,92.7,202,80.6,201,92.9,=36
=98,98,"KIT, Karlsruhe Institute of Technology",Germany,Karlsruhe,Europe,69.1,https://www.topuniversities.com/universities/kit-karlsruhe-institute-technology,https://www.topuniversities.com/sites/default/files/kit-karlsruhe-institute-of-technology_310_medium.jpg,77.1,168,57.1,194,48.9,397,87.4,82,61.5,254,56.9,363,86.9,219,83.8,265,61.1,330,79.5,=180
=98,99,Politecnico di Milano,Italy,"Milan,",Europe,69.1,https://www.topuniversities.com/universities/politecnico-di-milano,https://www.topuniversities.com/sites/default/files/260325021911pm966918POLIMI-logo-200x200-v2--90x90.jpg,53.9,343,83.4,84,9.3,801+,90.1,72,72,199,69.3,281,87,215,74.4,317,72.3,252,72.9,=275
100,100,University of Zurich,Switzerland,Zürich,Europe,68.5,https://www.topuniversities.com/universities/university-zurich,https://www.topuniversities.com/sites/default/files/250124123220pm124063Logo-90x90.jpg,52.3,361,71,132,95.2,72,43.5,308,90.8,97,57.8,357,93.5,114,100,82,43.1,482,69.8,318
101,101,University of Copenhagen,Denmark,Copenhagen,Europe,68.4,https://www.topuniversities.com/universities/university-copenhagen,https://www.topuniversities.com/sites/default/files/university-of-copenhagen_141_medium.jpg,36.6,512,85.5,79,99.6,34,41.7,324,94.4,77,26.5,640,98,22,87.3,241,19.9,765,76.3,221
102,102,Pohang University of Science And Technology (POSTECH),South Korea,Pohang ,Asia,67.9,https://www.topuniversities.com/universities/pohang-university-science-technology-postech,https://www.topuniversities.com/sites/default/files/pohang-university-of-science-and-technology-postech_592560cf2aeae70239af4c7b_medium.jpg,98.3,45,61.3,166,99.9,27,83.3,94,16,801+,4.2,801+,29.6,801+,31.6,568,8.3,801+,64.3,=415
=103,103,Nanjing University,China (Mainland),Nanjing,Asia,67.7,https://www.topuniversities.com/universities/nanjing-university,https://www.topuniversities.com/sites/default/files/nanjing-university_430_medium.jpg,99,39,72.1,128,37.2,541,61.2,188,39.7,440,15.9,799,69.5,541,82.9,273,12,801+,59.5,513
=103,104,Utrecht University,Netherlands,Utrecht,Europe,67.7,https://www.topuniversities.com/universities/utrecht-university,https://www.topuniversities.com/sites/default/files/utrecht-university_646_medium.jpg,77.9,165,79.3,100,39.5,514,49.2,258,73.2,194,30.5,586,97.8,23,63.4,367,22.8,723,75.1,235
=105,105,Lomonosov Moscow State University,Russia,Moscow,Europe,67.6,https://www.topuniversities.com/universities/lomonosov-moscow-state-university,https://www.topuniversities.com/sites/default/files/lomonosov-moscow-state-university-_592560cf2aeae70239af4c27_medium.jpg,7.3,801+,83.7,83,99.9,26,87.9,80,98.3,37,96,112,87,214,25.5,641,96.1,97,48.8,=734
=105,106,RWTH Aachen University,Germany,Aachen,Europe,67.6,https://www.topuniversities.com/universities/rwth-aachen-university,https://www.topuniversities.com/sites/default/files/rwth-aachen-university_4_medium.jpg,79.7,157,57.7,187,10.7,801+,95.7,46,55.9,298,93,146,86,237,59.6,393,93.5,122,82.9,=135
107,107,Technical University of Denmark,Denmark,Kongens Lyngby,Europe,67.5,https://www.topuniversities.com/universities/technical-university-denmark,https://www.topuniversities.com/sites/default/files/technical-university-of-denmark_592560cf2aeae70239af4cd8_medium.jpg,90.9,99,44.8,264,98.4,49,36.2,396,60.5,269,95.9,113,87.1,213,100,52,96.1,96,68,=351
108,108,Universidade de São Paulo,Brazil,São Paulo,Latin America,67.3,https://www.topuniversities.com/universities/universidade-de-sao-paulo,https://www.topuniversities.com/sites/default/files/universidade-de-so-paulo_550_medium.jpg,40.3,467,97.3,40,30.5,623,81,102,98.8,31,3.5,801+,95.3,76,9.2,801+,8.5,801+,89,70
109,109,Tohoku University,Japan,Sendai City,Asia,66.7,https://www.topuniversities.com/universities/tohoku-university,https://www.topuniversities.com/sites/default/files/tohoku-university_611_medium.jpg,35.5,519,84.5,82,98.2,52,86.5,84,36.5,474,19.4,739,70.1,529,20.5,705,25.5,678,82,=149
=110,110,Queen Mary University of London,United Kingdom,London,Europe,66.6,https://www.topuniversities.com/universities/queen-mary-university-london,https://www.topuniversities.com/sites/default/files/queen-mary-university-of-london_592560cf2aeae70239af4bea_medium.jpg,83.4,134,63.6,160,31,618,47.1,277,40.1,438,99.9,45,91.9,146,99.9,100,99.9,34,82.4,=144
=110,111,University of Wisconsin-Madison,United States,Madison,North America,66.6,https://www.topuniversities.com/universities/university-wisconsin-madison,https://www.topuniversities.com/sites/default/files/university-of-wisconsin-madison_678_medium.jpg,28.1,606,85.7,78,84.3,141,63.1,172,91,96,37,527,88.9,192,57.7,400,42.6,488,72.5,=281
112,112,Qatar University,Qatar,Doha,Asia,66.5,https://www.topuniversities.com/universities/qatar-university,https://www.topuniversities.com/sites/default/files/251111064230am907511QULlOGO-90x90.jpg,73.3,188,43.3,273,73.8,206,56.5,208,98.9,29,98.6,83,89.6,179,100,26,98.6,70,72.2,=289
113,113,University of St Andrews,United Kingdom,St. Andrews,Europe,66.4,https://www.topuniversities.com/universities/university-st-andrews,https://www.topuniversities.com/sites/default/files/university-of-st-andrews_570_medium.jpg,51.3,368,61.5,165,63.8,278,74.9,127,28.9,575,99.7,47,87.7,208,98.8,131,99.7,36,86.2,97
=114,114,Aalto University,Finland,Espoo (Helsinki capital region),Europe,66.3,https://www.topuniversities.com/universities/aalto-university,https://www.topuniversities.com/sites/default/files/230913111738am272302Aalto-University-logo-200x200-90x90.jpg,79.6,160,57.5,189,35.1,564,56.1,212,97.1,55,60,343,80.9,332,97.2,147,63.9,312,88.3,77
=114,115,"University of California, Davis",United States,Davis,North America,66.3,https://www.topuniversities.com/universities/university-california-davis,https://www.topuniversities.com/sites/default/files/university-of-california-davis_592560cf2aeae70239af4ad8_medium.jpg,66.5,237,72.7,125,28.3,675,70.1,146,38,457,61.9,327,90.8,165,86.5,250,65.6,298,79.8,174
=116,116,Pontificia Universidad Católica de Chile (UC),Chile,Santiago,Latin America,66.1,https://www.topuniversities.com/universities/pontificia-universidad-católica-de-chile-uc,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-de-chile-uc_107_medium.jpg,14.2,801+,98,36,35.1,562,98.6,29,99.9,13,7.8,801+,81.2,328,42,482,11.9,801+,80,=169
=116,117,University of Helsinki,Finland,Helsinki,Europe,66.1,https://www.topuniversities.com/universities/university-helsinki,https://www.topuniversities.com/sites/default/files/university-of-helsinki_260_medium.jpg,62.7,262,74.5,114,66.9,256,37.7,370,94.2,80,13.1,801+,96.1,57,78.5,305,19.1,779,95.6,18
118,118,University College Dublin,Ireland,Dublin,Europe,66,https://www.topuniversities.com/universities/university-college-dublin,https://www.topuniversities.com/sites/default/files/university-college-dublin_166_medium.jpg,62,272,66.5,149,19.7,801+,57.6,204,92.2,88,89.6,170,89,188,99.5,112,90.5,144,91.7,=49
=119,119,Leiden University,Netherlands,Leiden,Europe,65.7,https://www.topuniversities.com/universities/leiden-university,https://www.topuniversities.com/sites/default/files/leiden-university_340_medium.jpg,64.9,249,80.4,97,30.3,629,46.3,288,61.2,263,68.4,288,94.3,93,89.7,225,50.9,408,58.6,=530
=119,120,Rice University,United States,Houston,North America,65.7,https://www.topuniversities.com/universities/rice-university,https://www.topuniversities.com/sites/default/files/rice-university_524_medium.jpg,81.6,148,50.6,221,74.9,196,51,245,45.7,381,96.6,104,66.3,605,91.3,215,96.8,91,81.5,156
=119,121,University of Oslo,Norway,Oslo,Europe,65.7,https://www.topuniversities.com/universities/university-oslo,https://www.topuniversities.com/sites/default/files/university-of-oslo_473_medium.jpg,67.7,232,67.8,143,78.4,176,27.7,498,86.6,129,46,439,96.8,43,95.8,167,34.3,560,72.3,=286
=119,122,University of Waterloo,Canada,Waterloo,North America,65.7,https://www.topuniversities.com/universities/university-waterloo,https://www.topuniversities.com/sites/default/files/university-of-waterloo_670_medium.jpg,88.3,108,53,209,8.8,801+,74.2,130,72,201,76.6,247,83.5,285,81.5,283,78.9,219,90.5,60
=123,123,Georgia Institute of Technology,United States,Atlanta,North America,65.5,https://www.topuniversities.com/universities/georgia-institute-technology,https://www.topuniversities.com/sites/default/files/250219111124am560242GTVertical-CMYK-90x90.jpg,54.2,340,76,107,32.4,595,92.8,61,67.5,228,60.4,339,79,368,21.5,692,64.2,308,66.1,=376
=123,124,Indian Institute of Technology Delhi (IITD),India,New Delhi,Asia,65.5,https://www.topuniversities.com/universities/indian-institute-technology-delhi-iitd,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-delhi-iitd_282_medium.jpg,93.1,86,67.9,142,21.9,792,95,50,50.5,340,1.9,801+,66.9,590,3.2,801+,6.3,801+,79.9,=172
125,125,RMIT University,Australia,Melbourne,Oceania,65.3,https://www.topuniversities.com/universities/rmit-university,https://www.topuniversities.com/sites/default/files/rmit-university_592560cf2aeae70239af4c95_medium.jpg,91.3,96,55.1,202,7.2,801+,60.3,191,49.9,345,95.2,125,83.1,292,100,45,95.5,106,87.9,=80
=126,126,Sungkyunkwan University (SKKU),South Korea,Seoul,Asia,65.2,https://www.topuniversities.com/universities/sungkyunkwan-university-skku,https://www.topuniversities.com/sites/default/files/sungkyunkwan-universityskku_592560cf2aeae70239af4cc9_medium.jpg,62.3,269,68.4,139,83.8,149,75.6,125,44.2,400,57.6,359,49.5,801+,24.2,659,61.6,326,74.7,=243
=126,127,Universiti Kebangsaan Malaysia (UKM),Malaysia,Bangi,Asia,65.2,https://www.topuniversities.com/universities/universiti-kebangsaan-malaysia-ukm,https://www.topuniversities.com/sites/default/files/universiti-kebangsaan-malaysia-ukm_384_medium.jpg,30.1,587,76.2,106,78.7,174,76.4,119,35.5,485,94.7,129,86.1,235,50.1,439,94,114,74.7,=243
128,128,Sapienza University of Rome,Italy,Rome,Europe,64.9,https://www.topuniversities.com/universities/sapienza-university-rome,https://www.topuniversities.com/sites/default/files/sapienza-university-of-rome_592560cf2aeae70239af4c97_medium.jpg,62.9,261,90.7,65,7.8,801+,66.4,161,91.5,92,14.8,801+,95.9,61,4,801+,20.9,749,81.9,=151
129,129,Indian Institute of Technology Bombay (IITB),India,Mumbai,Asia,64.8,https://www.topuniversities.com/universities/indian-institute-technology-bombay-iitb,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-bombay-iitb_281_medium.jpg,82.9,136,73.3,120,16.1,801+,96.7,39,72.6,198,1.6,801+,46.6,801+,6.5,801+,1.5,801+,75.2,=232
130,130,Humboldt-Universität zu Berlin,Germany,Berlin,Europe,64.5,https://www.topuniversities.com/universities/humboldt-universitat-zu-berlin,https://www.topuniversities.com/sites/default/files/humboldt-universitt-zu-berlin_272_medium.jpg,43.4,435,94.3,47,10.5,801+,75.3,126,27.5,603,47.6,424,95,85,75.7,314,35.5,541,58.4,=536
131,131,Aarhus University,Denmark,Aarhus,Europe,64.3,https://www.topuniversities.com/universities/aarhus-university,https://www.topuniversities.com/sites/default/files/aarhus-university_592560cf2aeae70239af4a8a_medium.jpg,74.1,183,68.3,140,42.4,472,41.7,325,79.4,164,25.5,654,96.3,52,96.7,157,19.1,777,73.2,=271
=132,132,University of Bath,United Kingdom,Bath,Europe,64.2,https://www.topuniversities.com/universities/university-bath,https://www.topuniversities.com/sites/default/files/university-of-bath_47_medium.jpg,75.9,173,48.9,233,20.5,801+,81.6,100,50.7,337,86.8,187,85.3,250,95.6,170,88,156,83.8,=127
=132,133,University of Science and Technology of China,China (Mainland),Hefei,Asia,64.2,https://www.topuniversities.com/universities/university-science-technology-china,https://www.topuniversities.com/sites/default/files/university-of-science-and-technology-of-china_122_medium.jpg,99.4,30,57.6,188,98.1,56,50.6,248,42.8,410,7.8,801+,74.4,457,14.9,801+,13.5,801+,55.3,=596
=134,134,Universiti Putra Malaysia (UPM),Malaysia,Serdang,Asia,64.1,https://www.topuniversities.com/universities/universiti-putra-malaysia-upm,https://www.topuniversities.com/sites/default/files/241015052445am567301logo-upm-petak-90x90.jpg,38.3,487,75.7,108,66.8,258,73.4,133,23.2,666,98.4,84,86.8,221,45.2,467,98.5,71,68.9,=331
=134,135,Universiti Sains Malaysia (USM),Malaysia,Gelugor,Asia,64.1,https://www.topuniversities.com/universities/universiti-sains-malaysia-usm,https://www.topuniversities.com/sites/default/files/universiti-sains-malaysia-usm_386_medium.jpg,38.4,486,77.6,104,47.6,410,79.8,104,29.1,568,99.3,57,92.5,137,34.7,539,99.3,48,74.5,249
136,136,Universidad Nacional Autónoma de México  (UNAM),Mexico,Mexico City,Latin America,64,https://www.topuniversities.com/universities/universidad-nacional-autonoma-de-mexico-unam,https://www.topuniversities.com/sites/default/files/universidad-nacional-autnoma-de-mxico-unam_425_medium.jpg,4.1,801+,99.2,28,47.1,419,95.9,43,97.9,47,5.4,801+,93.6,110,10,801+,10.7,801+,82.2,=146
137,137,Newcastle University,United Kingdom,Newcastle upon Tyne,Europe,63.9,https://www.topuniversities.com/universities/newcastle-university,https://www.topuniversities.com/sites/default/files/newcastle-university_592560cf2aeae70239af4c45_medium.jpg,49.1,379,62.9,162,49.5,388,68.7,152,40.5,433,81,220,95.8,65,92.5,205,82.8,185,90.9,56
